script_id,angle,hook,problem,solution,proof,cta,full,word_count,primary_emotion,usp_tags,target_segment
IH_HIN_01,Course-First Global Foundation,"Abroad jana hai? Pehle strong course foundation banao.","Direct job expectation se students wrong fit choose kar lete hain.","International hospitality program structured training deta hai before deployment.","Curriculum mein service standards, operations, communication aur discipline cover hota hai.","Sirf serious students hi counseling book karein.","Agar aap genuinely hospitality padhna chahte ho aur structured learning ke through global track banana chahte ho, yeh program aapke liye hai. Yahan focus sirf job shortcut par nahi, course-led development par hai: service standards, operations discipline, communication, guest psychology aur professional behavior. Pehle training strong, phir career outcomes strong. Sirf serious student intent ho tab counseling book karein.",70,Seriousness,"course_first|global_foundation|student_fit",study_intent_students
IH_HIN_02,Not Job Shortcut,"Yeh direct placement shortcut program nahi hai.","Many leads without study intent quality drop kar dete hain.","Program is for learners ready for classroom + practical rigor.","Structured assessments and progression expectations included.","Agar padhai commitment hai tabhi apply karo.","Clear raho: yeh program un students ke liye hai jo learning commitment le sakte hain. Agar aap sirf immediate job dhoondh rahe ho bina training ke, yeh right fit nahi hai. Program mein classroom immersion, practical drills, grooming standards, communication practice aur performance review hota hai. Jo student process follow karta hai wahi long-term growth dekhta hai. Genuine study intent ho toh apply karo.",68,Clarity,"lead_qualification|rigor|long_term_growth",high_intent_students
IH_HIN_03,Academic + Practical Balance,"Sirf theory nahi, sirf shortcut bhi nahi.","Pure theory se industry readiness nahi banti.","Program academic concepts ko live hospitality application se connect karta hai.","Learning includes SOPs, service recovery, customer handling and process discipline.","Brochure + curriculum walkthrough ke liye register karo.","Hospitality mein success ke liye balanced learning chahiye: concepts bhi aur execution bhi. Is program mein aapko structured modules milte hain jahan service standards, SOP discipline, customer communication, complaint handling aur team operations cover hote hain. Yeh random crash course nahi, curated student pathway hai. Agar aap padhai + practical dono mein effort dene ke liye ready ho, register karo.",65,Confidence,"academic_practical_balance|sop_training|service_skills",skill_builders
IH_HIN_04,Parents-Focused Education Decision,"Parents ke saath education decision lena hai?","Families ko clear academic pathway chahiye hota hai, sirf placement claim nahi.","Program study structure aur development milestones ke saath designed hai.","Student grooming, communication and operational readiness measured progressively.","Parent-student counseling slot book karo.","Parents ka concern genuine hota hai: course real hai ya sirf marketing? Is international hospitality program mein focus measurable student development par hai. Learning stages clear hote hain: communication, grooming, service behavior, operational discipline aur applied exposure. Yeh un students ke liye bana hai jo systematic padhai ke saath career build karna chahte hain. Parent-student counseling book karo aur full academic roadmap samjho.",67,Trust,"parent_confidence|academic_roadmap|measurable_progress",parent_led_students
IH_HIN_05,Global Standards Training,"Abroad aspiration hai? Global standards pe train ho.","Aspirations high hoti hain par skill standard mismatch hota hai.","Program global hospitality expectations ke according learning build karta hai.","Focus on etiquette, communication accuracy, process consistency and professionalism.","Serious learners ke liye intake inquiry open hai.","Abroad dream tab practical banta hai jab aap global hospitality standards pe train hote ho. Is program mein language confidence, service etiquette, process consistency, client interaction aur professional conduct par structured emphasis hota hai. Sirf dream bechna goal nahi hai, student ko industry-ready banane ke liye disciplined preparation karana goal hai. Agar aap serious learner ho, intake inquiry submit karo.",64,Ambition,"global_standards|professional_etiquette|disciplined_preparation",abroad_aspirants
IH_HIN_06,Skill Depth Over Hype,"Hype nahi, real skill depth chahiye?","Social media promises se wrong expectations ban jati hain.","Program layered learning deta hai from basics to applied execution.","Students are trained on service psychology, coordination and accountability.","Curriculum dekh kar informed decision lo.","Agar aapko flashy promises nahi, real skill depth chahiye, yeh right direction ho sakta hai. Program step-by-step development par kaam karta hai: basic service mindset se lekar advanced guest handling, team coordination, accountability aur process adherence tak. Isse student confidence practical level par build hota hai. Admission lene se pehle curriculum dekhna zaroori hai. Detail session ke liye register karo.",65,Practicality,"skill_depth|stepwise_learning|informed_decision",research_oriented_students
IH_HIN_07,Study Commitment Filter,"1 sawal: aap padhai commit kar sakte ho?","Without consistency, hospitality training ka outcome weak hota hai.","Program discipline-led format follow karta hai with regular learning checkpoints.","Consistency in attendance, assignments and practice drives results.","Commitment ready ho toh hi form fill karo.","Is program ka result un students ko milta hai jo commitment dikhate hain. Attendance discipline, module completion, practical participation aur continuous improvement par focus hota hai. Agar aap sirf quick job chahte ho bina study effort ke, yeh fit nahi hai. Lekin agar aap structured padhai ke saath long-term career banana chahte ho, yeh strong pathway hai. Commitment clear ho toh form fill karo.",67,Discipline,"commitment_filter|learning_checkpoints|serious_intent",committed_learners
IH_HIN_08,Course Value Clarity,"Course ka value tab hai jab learning measurable ho.","Students ko often samajh nahi aata kya extra mil raha hai.","Program gives structured training, progression, and professional readiness outputs.","Beyond basics: communication, etiquette, operations, and service accountability.","Admission team se module-by-module breakdown lo.","Agar aap compare kar rahe ho, ek cheez dekho: course measurable learning de raha hai ya nahi. Is program mein basic se advanced hospitality readiness tak clear progression milta hai. Communication polish, service etiquette, operations handling, guest response aur professional accountability par detailed focus hota hai. Isliye yeh generic course se stronger ban sakta hai. Module-by-module breakdown ke liye admission team se connect karo.",66,Clarity,"measurable_learning|program_value|structured_progression",comparison_shoppers
IH_HIN_09,Student Transformation,"Program ka outcome: student transformation, not instant salary promise.","Instant-income messaging wrong audience attract karti hai.","This course builds capability before placement outcomes.","Transformation areas: mindset, communication, service precision, consistency.","Only student-intent applications invited.","Is course ka core promise instant salary nahi, student transformation hai. Jab aapka mindset, communication, service precision aur consistency improve hota hai, tab placement outcomes naturally better bante hain. Isi liye yeh program serious learners ke liye design hua hai, quick-fix seekers ke liye nahi. Agar aap padhai aur disciplined growth ke liye ready ho, apna application submit karo.",61,Maturity,"student_transformation|capability_building|right_fit_filter",mature_intent_students
IH_HIN_10,Premium Learning Journey,"Hospitality ko professionally padhna hai?","Career confusion tab hoti hai jab program depth clear nahi hoti.","Program offers premium learning journey with clear competency milestones.","Each stage builds readiness for responsible customer-facing roles.","Counseling mein full learning journey samjho.","Agar aap hospitality ko professionally lena chahte ho, toh structured course journey zaroori hai. Is program mein learning milestones defined hote hain jisse student step-by-step customer-facing responsibility ke liye ready hota hai. Yeh sirf admission lene ka decision nahi, professional development ka decision hai. Random choice mat karo. Counseling session mein full learning journey samjho aur then decision lo.",63,Professionalism,"learning_journey|competency_milestones|professional_development",serious_hospitality_students
